id,name
Q1770828,Abdallah Marrash,Arabic-language newspaper writer,+1839-05-14T00:00:00Z,+1900-01-17T00:00:00Z
Q1332865,Elmar Treptow,German philosopher,+1937-05-17T00:00:00Z,
Q109480570,Jamil Jabr,"Lebanese writer, historian, journalist and translator",+1924-00-00T00:00:00Z,+2012-00-00T00:00:00Z
Q102422410,Kunz Buntschuh,,+1500-00-00T00:00:00Z,+1559-03-00T00:00:00Z
Q93231229,Frédéric Louzeau,French moralist,+1968-00-00T00:00:00Z,
Q80561565,Gabor Vida,"Hungarian flautist, painter, polyhistor",+1937-01-24T00:00:00Z,+2007-12-23T00:00:00Z
Q94919030,Gerhard Hentrich,,+1892-00-00T00:00:00Z,+1973-00-00T00:00:00Z
Q24194775,Henri Charles Stock,French painter (1826-1885),+1826-00-00T00:00:00Z,+1885-02-11T00:00:00Z
Q1223696,Dietrich Böhler,German philosopher,+1942-01-05T00:00:00Z,
Q317475,Ali Shariati,Iranian sociologist and philosopher,+1933-11-23T00:00:00Z,+1977-06-19T00:00:00Z
Q2209874,Luc Morjaeu,Belgian caricaturist,+1960-01-11T00:00:00Z,
Q5658176,Adolfo Vienrich,"Peruvian pharmacist, intellectual and writer (1867-1908)",+1867-11-18T00:00:00Z,+1908-09-29T00:00:00Z
Q500313,Andreas Rulle,"German artist, caricaturist and draughtsperson (1959-2008)",+1959-09-21T00:00:00Z,+2008-09-07T00:00:00Z
Q55675665,Gustav Østerberg,,+1899-11-26T00:00:00Z,+1974-02-12T00:00:00Z
Q686429,Paolo Rossi,Italian philosopher and science historian (1923-2012),+1923-12-30T00:00:00Z,+2012-01-14T00:00:00Z
Q52149546,Johann Georg Nordheim,,+1804-01-01T00:00:00Z,+1853-01-01T00:00:00Z
Q115960102,Antònia Trenchs i Asens,,,+1939-06-23T00:00:00Z
Q94939804,Adalbert Gebel,,+1832-00-00T00:00:00Z,+1868-00-00T00:00:00Z
Q4164534,Jawdat Said,Syrian scholar,+1931-02-09T00:00:00Z,+2022-01-30T00:00:00Z
Q283946,Tetsuji Iseda,Japanese academician,+1968-01-01T00:00:00Z,
Q12360406,Boris Šestakov,,+1963-04-07T00:00:00Z,
Q21509003,Dorothy Cooper,New Zealand botanist (1941 - ),+1941-01-01T00:00:00Z,
Q6082698,Feyzi Önder,Turkish entomologist,,
Q6298008,João Anastácio Rosa,Portuguese actor and artist,+1812-01-01T00:00:00Z,+1884-01-01T00:00:00Z
Q4347925,Pedrillo Pietro-Mira,,,
Q5925213,Jaime Molina,Colombian painter (1926-1978),+1926-03-07T00:00:00Z,+1978-08-15T00:00:00Z
Q1466602,Béla Zalai,,+1882-08-30T00:00:00Z,+1915-02-02T00:00:00Z
Q18977674,László Magyar,"Hungarian writer, journalist and caricaturist (1900-1971)",+1900-06-12T00:00:00Z,+1971-10-03T00:00:00Z
Q85937,Felix Weltsch,"German-speaking Jewish librarian, philosopher, author, editor, publisher and journalist",+1884-01-01T00:00:00Z,+1964-01-01T00:00:00Z
Q56822880,Gebre Meskel Woldu,leading Eritrean intellectual and politician,+1907-00-00T00:00:00Z,+1962-00-00T00:00:00Z
Q113679903,László Kallus,"Hungarian graphic artist, caricaturist and journalist (1924–1998)",+1924-06-14T00:00:00Z,+1998-11-22T00:00:00Z
Q31650323,Adolfo Pons y Umbert,Spanish jurist (1873-1945),+1873-09-11T00:00:00Z,+1945-09-07T00:00:00Z
Q723380,Jurij Moskvitin,"Danish and Italyn Author, pianist, composer, philosopher, and mathematician (1938-2005)",+1938-01-06T00:00:00Z,+2005-05-25T00:00:00Z
Q94918820,Gilbert Viardot,,+1888-00-00T00:00:00Z,+1965-00-00T00:00:00Z
Q6218332,John Aikin,Unitarian scholar and theologian tutor,+1713-01-01T00:00:00Z,+1780-01-01T00:00:00Z
Q114438299,Benjo Cruz,,+1942-01-12T00:00:00Z,+1970-09-06T00:00:00Z
Q3310725,Erik Meynen,,+1957-12-18T00:00:00Z,
Q1392445,Mikhail Mikeshin,Russian sculptor,+1835-02-09T00:00:00Z,+1896-01-19T00:00:00Z
Q5957747,Babak Ahmadi,"Iranian writer, translator, essayist and intellectual",+1948-01-01T00:00:00Z,
Q15431813,Georg Schott,German theologian and writer (1882-1962),+1882-02-03T00:00:00Z,+1962-05-09T00:00:00Z
Q977245,Robert Storm Petersen,"Danish cartoonist, writer and illustrator (1882-1949)",+1882-09-19T00:00:00Z,+1949-03-06T00:00:00Z
Q66677,Bruno Paul,German architect (1874-1968),+1874-01-19T00:00:00Z,+1968-08-17T00:00:00Z
Q116256287,Samih Samara,Palestinian politician and writer (1944-1997),+1944-00-00T00:00:00Z,+1997-07-27T00:00:00Z
Q96689996,Nime,Algerian comics artist,+1985-00-00T00:00:00Z,
Q77436,Jakob Friedrich Fries,German philosopher & scholar,+1773-08-23T00:00:00Z,+1843-08-10T00:00:00Z
Q1785151,Kostas Koufogiorgos,Greek artist,+1972-02-14T00:00:00Z,
Q191095,Edward Sapir,American linguist and anthropologist (1884-1939),+1884-01-26T00:00:00Z,+1939-02-04T00:00:00Z
Q37788819,Joseph Damberger,"German painter, etcher, illustrator, and draftsman, 1867-1951",+1867-12-27T00:00:00Z,+1951-01-18T00:00:00Z
Q2478111,Umberto Brunelleschi,Italian artist (1879-1949),+1879-06-21T00:00:00Z,+1949-02-16T00:00:00Z
Q442384,Pema Chödrön,American philosopher,+1936-07-14T00:00:00Z,
Q2129941,Aljos Farjon,Dutch botanist,+1946-01-01T00:00:00Z,
Q35384049,Charles-Claude-Florent de Thorel de Campigneulles,"French moralist, journalist, critic and writer",+1737-10-03T00:00:00Z,+1809-00-00T00:00:00Z
Q16407451,Ain Tähiste,Estonian lawyer and politician,+1960-10-17T00:00:00Z,
Q3335312,Najm oud-Dine Bammate,French intellectual and writer,+1922-12-08T00:00:00Z,+1985-01-15T00:00:00Z
Q18638509,Fermín Hontou,"Uruguayan draughtsperson, caricaturist, professor and artist",+1956-09-11T00:00:00Z,+2022-08-25T00:00:00Z
Q19966975,Alexander Riedel,"German researcher, taxonomist and entomologist",+1969-08-18T00:00:00Z,
Q19629649,Sampar,Canadian comics artist,+1973-00-00T00:00:00Z,
Q88664545,Kurt Poltiniak,,+1908-01-01T00:00:00Z,+1976-01-01T00:00:00Z
Q1128723,Károly Lehoczki,"Hungarian musician, cartoonist (1957-2012)",+1957-01-20T00:00:00Z,+2012-11-19T00:00:00Z
Q97646495,Gaby Muñoz,Animator,+2007-09-25T00:00:00Z,
Q21506708,Sandra Margaret Burrows,South African botanist (1959- ),+1959-01-01T00:00:00Z,
Q20087157,Pyotr Shmelkov,Russian painter,+1819-06-24T00:00:00Z,+1890-10-21T00:00:00Z
Q16439329,Josy Greisen,,+1916-05-10T00:00:00Z,+2001-08-13T00:00:00Z
Q969758,Gregory of Narek,Armenian monk,+0951-01-01T00:00:00Z,+1003-01-01T00:00:00Z
Q714374,Wang Fuzhi,"Chinese essayist, historian and philosopher (1619–1692)",+1619-10-07T00:00:00Z,+1692-02-18T00:00:00Z
Q1517931,Peter Strasser,Austrian philosopher,+1950-05-28T00:00:00Z,
Q249984,Robin Gandy,British mathematician and logician,+1919-09-22T00:00:00Z,+1995-11-20T00:00:00Z
Q1362191,Rius,"Mexican intellectual, political cartoonist and writer (1934-2017)",+1934-06-20T00:00:00Z,+2017-08-08T00:00:00Z
Q19268878,Michał Bieniasz,,+1951-00-00T00:00:00Z,+2014-02-25T00:00:00Z
Q21463706,John Wallace,"WALLACE, John (1841 - 1905), Painter, draughtsman, caricaturist, illustrator",+1841-01-01T00:00:00Z,+1905-01-01T00:00:00Z
Q5703339,Hossein Safi,,,
Q792460,Bella Szwarcman-Czarnota,"Polish writer, columnist and translator",+1945-09-01T00:00:00Z,
Q107294710,Saad Hajo,,+1968-10-13T00:00:00Z,
Q12803345,Stane Jagodič,"Slovenian artist, photographer and writer",+1943-06-15T00:00:00Z,
Q112408271,Miloslav Toman,,+1939-00-00T00:00:00Z,
Q12405813,Dalia Ofer,Israeli historian,+1939-01-01T00:00:00Z,
Q634048,Daniel Adam z Veleslavína,"Czech philosopher, historian, humanist, lexicographer, linguist, publisher, professor, translator, writer, university educator and science writer",+1546-09-10T00:00:00Z,+1599-10-18T00:00:00Z
Q1246597,Ernst Horneffer,German philosopher,+1871-09-07T00:00:00Z,+1954-09-05T00:00:00Z
Q24545756,Tarmo Vaarmets,,+1965-05-18T00:00:00Z,
Q28357450,Konstantin Osvet,,+1889-05-20T00:00:00Z,+1946-00-00T00:00:00Z
Q5955384,Bahram Azimi,Iranian animator,+1967-01-21T00:00:00Z,
Q1030163,Reza Davari Ardakani,Iranian philosopher,+1933-07-06T00:00:00Z,
Q95457300,Vladimír Pechar,,+1931-01-19T00:00:00Z,
Q1441567,Francis Jacques,French philosopher,+1934-03-12T00:00:00Z,
Q59683305,María J. Salinas,plant ecologist and molecular taxonomist,,
Q56825200,Tesfa Seyon,Ethiopian monk and intellectual,+1508-00-00T00:00:00Z,
Q5222979,Dariush Ramezani,cartoonist,+1976-03-21T00:00:00Z,
Q5866856,Francisco Mostajo Miranda,"Peruvian intellectual, politician and lawyer (1874-1953)",+1874-04-03T00:00:00Z,+1953-03-27T00:00:00Z
Q19344321,Zerco,,+0450-00-00T00:00:00Z,
Q61111078,Enn Ehala,Estonian caricaturist and politician,+1936-01-01T00:00:00Z,
Q112038,Hermann Schmitz,German philosopher (1928-2021),+1928-05-16T00:00:00Z,+2021-05-05T00:00:00Z
Q525525,Lambert van Velthuysen,Dutch theologian,+1622-01-01T00:00:00Z,+1685-01-01T00:00:00Z
Q56822879,Gebre Heywet Baykedagn,Ethiopian intellectual and reformer,+1886-07-30T00:00:00Z,+1919-00-00T00:00:00Z
Q964903,Alberic of Monte Cassino,Catholic cardinal,+1030-00-00T00:00:00Z,+1088-10-17T00:00:00Z
Q5515376,Gaber Asfour,Egyptian professor/Cairo University,+1944-03-25T00:00:00Z,+2021-12-31T00:00:00Z
Q23296611,Kaljo Itra,,+1938-06-20T00:00:00Z,+2010-09-04T00:00:00Z
Q5623211,Gvido Birolla,painter and illustrator (1881-1963),+1881-06-12T00:00:00Z,+1963-05-29T00:00:00Z
Q952831,Jean-Yves Calvez,French academic (1927-2010),+1927-02-03T00:00:00Z,+2010-01-11T00:00:00Z
Q16028683,Éric Martin,French caricaturist,+1968-10-21T00:00:00Z,
Q6112568,Rosette Batarda Fernandes,"Portuguese botanist, taxonomist, curator and botanical collector (1916-2005)",+1916-01-10T00:00:00Z,+2005-05-28T00:00:00Z
Q47537402,Georges Koister,Belgian painter,+1879-00-00T00:00:00Z,+1956-01-01T00:00:00Z
Q353544,Stephen Batchelor,British Buddhist philosopher,+1953-04-07T00:00:00Z,
Q16387610,Hakob Shahamirean,,+1745-00-00T00:00:00Z,+1774-00-00T00:00:00Z
Q19843825,Anders G.J. Rhodin,"American herpetologist, taxonomist and orthopedic surgeon",,
Q2871088,Auguste Bouquet,"French caricaturist, lithographer and painter (1810-1846)",+1810-09-13T00:00:00Z,+1846-12-21T00:00:00Z
Q30609223,Andres Kuusk,"Estonian artist, caricaturist",+1874-01-01T00:00:00Z,
Q78129,Gustav Teichmüller,German philosopher,+1832-11-19T00:00:00Z,+1888-05-22T00:00:00Z
Q21809348,Pedro de Rojas,Spanish caricaturist (1873-1947),+1873-02-24T00:00:00Z,+1947-09-04T00:00:00Z
Q1289555,Moisés Moleiro,Venezuelan historian,+1937-09-02T00:00:00Z,+2002-02-16T00:00:00Z
Q1396468,Vincenzo Giustiniani,Italian banker and art collector (1564-1637),+1564-09-13T00:00:00Z,+1637-12-27T00:00:00Z
Q378706,Vincenzo Gioberti,Italian philosopher and politician (1801-1852),+1801-04-05T00:00:00Z,+1852-10-26T00:00:00Z
Q64173580,Rachid Boutayeb,,+1973-00-00T00:00:00Z,
Q9381,Adam Smith,Scottish moral philosopher and political economist (1723-1790),+1723-06-05T00:00:00Z,+1790-07-17T00:00:00Z
Q896449,Hieronymus Megiser,linguist and historian,+1553-01-01T00:00:00Z,+1618-01-01T00:00:00Z
Q9653726,Belmiro de Almeida,Brazilian painter (1858-1935),+1858-05-22T00:00:00Z,+1935-06-12T00:00:00Z
Q9124889,Akira Ōtsuka,Japanese mangaka,,
Q103743,Ernst Heinrich Toelken,German classical scholar and archaeologist (1785-1869),+1785-11-01T00:00:00Z,+1869-03-16T00:00:00Z
Q95387175,Hanuš Bohman,,+1903-06-20T00:00:00Z,+1980-05-14T00:00:00Z
Q179109,Roland Barthes,French philosopher and essayist,+1915-11-12T00:00:00Z,+1980-03-26T00:00:00Z
Q120636112,Lore Helmcke,1930 until 1933 german press illustrator in Berlin,,
Q93136,Jean-Paul Delahaye,"French mathematician, computer scientist",+1952-06-29T00:00:00Z,
Q3308052,Michael Brecher,Canadian intellectual,+1925-03-14T00:00:00Z,+2022-01-16T00:00:00Z
Q110701276,María Francisca Irene de Navia y Bellet,,+1726-01-19T00:00:00Z,+1786-03-10T00:00:00Z
Q1596648,Heinrich Barth,Swiss philosopher (1890-1965),+1890-02-03T00:00:00Z,+1965-05-22T00:00:00Z
Q1240883,Herbert Sandberg,German artist and caricaturist,+1908-04-18T00:00:00Z,+1991-03-18T00:00:00Z
Q84466,Otto Nückel,"painter, graphic designer, illustrator and cartoonist (1888-1955)",+1888-09-06T00:00:00Z,+1955-11-12T00:00:00Z
Q1317769,Marek Jędraszewski,Polish archbishop,+1949-02-24T00:00:00Z,
Q402274,Johan Ludvig Heiberg,Danish poet and critic (1791–1860),+1791-12-14T00:00:00Z,+1860-08-25T00:00:00Z
Q14939140,Arístides Esteban Hernández Guerrero,"Cuban caricaturist, illustrator and painter",+1963-09-02T00:00:00Z,
Q434346,Victor Cousin,French philosopher,+1792-11-28T00:00:00Z,+1867-01-13T00:00:00Z
Q12811195,Nuri Pakdil,Turkish author,+1934-00-00T00:00:00Z,+2019-10-18T00:00:00Z
Q21505849,Kathryn Anna Beck,botanist,+1959-01-01T00:00:00Z,
Q78163282,Gerhard Kugler,,+1935-05-04T00:00:00Z,+2009-11-03T00:00:00Z
Q95147635,Miroslav Slejška,,+1931-01-03T00:00:00Z,
Q692150,Arne Bellstorf,German illustrator and caricaturist,+1979-01-01T00:00:00Z,
Q25402592,Francisco Posada Díaz,,+1934-07-22T00:00:00Z,+1970-10-05T00:00:00Z
Q311776,Paul Grice,philosopher,+1913-03-13T00:00:00Z,+1988-08-28T00:00:00Z
Q1614625,Herta Nagl-Docekal,Austrian philosopher and university teacher,+1944-05-29T00:00:00Z,
Q60596851,José Vera y González,,+1861-00-00T00:00:00Z,+1936-09-26T00:00:00Z
Q5606688,Gregor W. Yeates,New Zealand zoologist and soil biologist (1944–2012),+1944-05-19T00:00:00Z,+2012-08-06T00:00:00Z
Q1525438,Giorgio Colli,Italian philosopher,+1917-01-16T00:00:00Z,+1979-01-06T00:00:00Z
Q1573258,Jára Cimrman,Czech fictional character of a national giant,,
Q877276,Roderick Chisholm,American philosopher,+1916-11-27T00:00:00Z,+1999-01-19T00:00:00Z
Q99511720,Vladimir Grigorievich,,+1913-01-01T00:00:00Z,+2006-08-26T00:00:00Z
Q1275299,John Michael Krois,American philosopher,+1943-11-24T00:00:00Z,+2010-10-20T00:00:00Z
Q1178104,Mnesarchus,son of Pythagoras,-0550-00-00T00:00:00Z,
Q12702590,Sau Lim,Caricaturist and Comic Editor,,
Q1358685,Simón Rodríguez,Venezuelan writer,+1769-10-28T00:00:00Z,+1853-02-28T00:00:00Z
Q957799,Hideo Kobayashi,Japanese writer,+1902-04-11T00:00:00Z,+1983-01-03T00:00:00Z
Q332942,Adeodatus,monk,+0372-00-00T00:00:00Z,+0388-00-00T00:00:00Z
Q324896,Ronald Jensen,American logician,+1936-04-01T00:00:00Z,
Q214138,Walter Trier,British illustrator,+1890-06-25T00:00:00Z,+1951-07-08T00:00:00Z
Q568588,Endre Domanovszky,Hungarian philosopher,+1817-11-17T00:00:00Z,+1895-04-18T00:00:00Z
Q104603061,Robert Wallace Glen Lee Braddell,Barrister and cartoonist,+1859-00-00T00:00:00Z,+1936-03-24T00:00:00Z
Q17496687,Cesáreo del Villar Besada,Spanish draughtsperson,+1875-01-31T00:00:00Z,+1941-07-08T00:00:00Z
Q6813274,ʻAbd al-Salām Bin-ʻAbd al-ʻĀlī,,+1945-00-00T00:00:00Z,
Q22690395,Nasīb Nemer,Lebanese philosopher,+1925-03-09T00:00:00Z,+2001-12-26T00:00:00Z
Q99641096,Asa Matsuoka,,+1893-07-11T00:00:00Z,+1980-10-16T00:00:00Z
Q20413029,رفاعى سرور,,+1947-00-00T00:00:00Z,+2012-02-21T00:00:00Z
Q18857770,Roman Nikolayevich Schljakov,Russian botanist (1912-1999),+1912-06-20T00:00:00Z,+1999-03-27T00:00:00Z
Q12378035,Valdek Alber,,+1976-04-11T00:00:00Z,
Q60718,Adolf Engler,German botanist (1844-1930),+1844-03-25T00:00:00Z,+1930-10-10T00:00:00Z
Q75849,Alfred Rosenberg,"Baltic German architect, Nazi politician and ideologue (1893-1946)",+1893-01-12T00:00:00Z,+1946-10-16T00:00:00Z
Q47520345,John Olday,"British artist, cartoonist and writer (1905–1977)",+1905-04-10T00:00:00Z,+1977-00-00T00:00:00Z
Q112411291,Petr Vyoral,,+1978-00-00T00:00:00Z,
Q1287571,Claude Guillaumin,French painter and caricaturist (1842-1927),+1842-08-11T00:00:00Z,+1927-03-11T00:00:00Z
Q121088124,Samuel Garnet Wells,Australian cartoonist,+1885-02-02T00:00:00Z,+1972-03-12T00:00:00Z
Q54608693,Walter W. Nassichuk,Canadian geologist and paleontologist,,
Q870966,Csefkó Pál Tamás,,+1967-01-28T00:00:00Z,
Q94918120,Alexander M. Kaiser,,+1887-00-00T00:00:00Z,+1971-00-00T00:00:00Z
Q213393,John Wesley,founder of the Methodist movement (1703-1791),+1703-06-17T00:00:00Z,+1791-03-02T00:00:00Z
Q27913,Friedrich Paulsen,German philosopher and educator (1846-1908),+1846-07-16T00:00:00Z,+1908-08-14T00:00:00Z
Q12742463,Traian Furnea,,+1954-04-14T00:00:00Z,+2003-08-03T00:00:00Z
Q112259620,Mohammed Al Arab,"Journalist, writer and war correspondent",+1975-00-00T00:00:00Z,
Q4815095,Theodora Lisle Prankerd,British botanist (1878-1939),+1878-06-21T00:00:00Z,+1939-11-11T00:00:00Z
Q94921308,Georges Pinard Calumet,,+1875-00-00T00:00:00Z,+1918-00-00T00:00:00Z
Q61804773,Ventura Requejo,,+1850-00-00T00:00:00Z,+1939-08-08T00:00:00Z
Q460075,Isabel Paterson,author and editor,+1886-01-22T00:00:00Z,+1961-01-10T00:00:00Z
Q95231834,Richard Assmann,,+1887-11-27T00:00:00Z,+1965-06-01T00:00:00Z
Q85203130,Peter Gray,"Peter C. Gray; b. June 15, 1969",+1969-06-15T00:00:00Z,
Q6100095,Ramón Valdiosera Berman,Mexican fashion designer (1918-2017),+1918-04-28T00:00:00Z,+2017-04-11T00:00:00Z
Q12212819,Raif Khoury,"Lebanese writer, poet, essayist, novelist",+1913-00-00T00:00:00Z,+1967-11-02T00:00:00Z
Q16858111,John Colley Nixon,English merchant and amateur artist,+1750-00-00T00:00:00Z,+1818-00-00T00:00:00Z
Q30303461,Ralf Alex Fichtner,German caricaturist and artist,+1952-05-31T00:00:00Z,+2022-04-06T00:00:00Z
Q41535671,Christian Bois,"French intellectual, author and filmmaker",+1948-05-30T00:00:00Z,
Q21209683,Diran Adjemian,,+1902-07-21T00:00:00Z,+1991-09-10T00:00:00Z
Q1324422,Hans Clauert,,+1506-00-00T00:00:00Z,+1566-01-01T00:00:00Z
Q50413285,Jan Blahoslav Novotný,(1917-1983),+1917-03-02T00:00:00Z,+1983-01-25T00:00:00Z
Q21288652,Charles Jay Taylor,American painter and illustrator (1855-1929),+1855-08-11T00:00:00Z,+1929-01-18T00:00:00Z
Q91481237,David W. Roubik,entomologist and ecologist,+1951-00-00T00:00:00Z,
Q30106692,Elin Lucassi,Swedish cartoonist and librarian,+1977-01-01T00:00:00Z,
Q1176435,Árpád Mezei,Hungarian psychiatrist,+1902-07-02T00:00:00Z,+1998-07-07T00:00:00Z
Q7408544,Saman Arbabi,journalist,+1973-01-01T00:00:00Z,
Q9374821,William Eschmeyer,American ichthyologist,+1939-02-11T00:00:00Z,
Q111722315,Rudolf Kristen,"Austrian soldier, drawer and caricaturist",+1889-00-00T00:00:00Z,+1946-00-00T00:00:00Z
Q16666519,Nicolas Tabary,French caricaturist,+1966-07-22T00:00:00Z,
Q1254907,Ferenc Sajdik,,+1930-08-21T00:00:00Z,
Q15109525,Julius Mendes Price,"Artist, war correspondent, traveller and journalist",+1857-01-01T00:00:00Z,+1924-09-29T00:00:00Z
Q446917,Joseph P. Kerwin,American astronaut,+1932-02-19T00:00:00Z,
Q467460,Max Friedlaender,German musicologist (1852-1934),+1852-10-12T00:00:00Z,+1934-05-02T00:00:00Z
Q528343,Lars Gule,Norwegian philosopher,+1955-06-24T00:00:00Z,
Q95904413,Albert Bertrand,,,
Q107977281,Jan Krasowski,,,
Q105483784,Erich Godal,German caricaturist and illustrator,+1899-01-15T00:00:00Z,+1969-09-02T00:00:00Z
Q94917781,Georges Hautot,,+1887-00-00T00:00:00Z,+1963-00-00T00:00:00Z
Q1364945,Glaucon,older brother of Plato,-0445-01-01T00:00:00Z,
Q6196778,Jim McDermott,illustrator,+1960-06-24T00:00:00Z,
Q3374133,Pedro Taques de Almeida Pais Leme,Brazilian intellectual (1714-1777),+1714-06-00T00:00:00Z,+1777-03-03T00:00:00Z
Q44601,Francesco Guicciardini,"Italian writer, historian and politician (1483-1540)",+1483-03-06T00:00:00Z,+1540-05-22T00:00:00Z
Q77161,Hans Morgenthau,American political scientist (1904-1980),+1904-02-17T00:00:00Z,+1980-07-19T00:00:00Z
Q1084990,Christoph Gloor,Swiss sculptor (1936-2017),+1936-11-01T00:00:00Z,+2017-03-26T00:00:00Z
Q70868521,Hermann Krause,cartoonist (fl. in the 1940s),,
Q95137448,Radek Machata,,+1961-08-08T00:00:00Z,
Q893722,Boris Hessen,Russian philosopher and physicist (1893-1936),+1893-08-16T00:00:00Z,+1936-12-20T00:00:00Z
Q21338707,Hans-Dieter Philippen,German taxonomist and herpetologist,,
Q28806559,Rémi Malingrëy,French cartoonist,+1958-10-21T00:00:00Z,
Q5475697,Alfonso Villegas Restrepo,Colombian intellectual (1884-1945),+1884-01-21T00:00:00Z,+1945-03-18T00:00:00Z
Q1461644,Friedrich Rapp,German philosopher,+1932-01-31T00:00:00Z,
Q1268645,Dyer Lum,labor activist and poet,+1839-02-15T00:00:00Z,+1893-01-01T00:00:00Z
Q16637238,Frédéric Garcia,French caricaturist and comic artists,+1954-05-00T00:00:00Z,
Q107725013,Sadiq Jawad Suleiman,"Omani writer, intellectual, and diplomat",+1936-00-00T00:00:00Z,+2021-07-27T00:00:00Z
Q77446311,William Dent,British printmaker and caricaturist active in London,,
Q100784078,Franz Goedecker,German caricaturist,,+1884-12-15T00:00:00Z
Q61723,Gustav Landauer,"German anarchist, editor (1870-1919)",+1870-04-07T00:00:00Z,+1919-05-02T00:00:00Z
Q55688328,Rivero Gil,Spanish designer,+1899-01-01T00:00:00Z,+1972-01-24T00:00:00Z
Q8046296,Yaakov Malkin,Israeli intellectual,+1926-08-03T00:00:00Z,+2019-07-21T00:00:00Z
Q106834438,Krisztina Kállai Nagy,,+1966-01-01T00:00:00Z,
Q1469018,Michel Weber,Belgian philosopher,+1963-08-05T00:00:00Z,
Q11979533,Julius Forsaa,,+1893-01-01T00:00:00Z,+1978-01-01T00:00:00Z
Q969976,Dionysius the Renegade,ancient Greek philosopher,-0330-00-00T00:00:00Z,-0250-00-00T00:00:00Z
Q821990,Christopher Jacob Boström,Swedish philosopher,+1797-01-01T00:00:00Z,+1866-03-22T00:00:00Z
Q4083917,Ilya Ber,,+1982-02-02T00:00:00Z,
Q330292,Jes Bertelsen,Danish philosopher,+1946-03-27T00:00:00Z,
Q121081671,Martí Renau Rubió,,,
Q18913557,Orens Denizard,French caricaturist,+1879-05-08T00:00:00Z,+1965-00-00T00:00:00Z
Q2830571,Alan P. Peterson,American ornithologist,+1953-01-01T00:00:00Z,
Q15064584,Pyotr Mikhaylovich Boklevskiy,Russian painter,+1816-06-12T00:00:00Z,+1897-01-10T00:00:00Z
Q42888555,Aleksander Blaubrück,,+1895-12-03T00:00:00Z,+1971-10-13T00:00:00Z
Q120263291,Dzhantemir Shanayev,"Ossetian lawyer, ethnographer and intellectual (c. 1850-1928)",+1850-00-00T00:00:00Z,+1928-00-00T00:00:00Z
Q5879,Johann Wolfgang von Goethe,"German writer, artist, natural scientist and politician (1749–1832)",+1749-08-28T00:00:00Z,+1832-03-22T00:00:00Z
Q326624,Václav Černý,"Czech essayist, philosopher, literature historian, literary critic, professor and translator",+1905-03-26T00:00:00Z,+1987-07-02T00:00:00Z
Q56825018,Jonathan Savi de Tové,Togolese politician and intellectual,+1895-08-15T00:00:00Z,+1971-09-11T00:00:00Z
Q22696871,Ali Ulvi Ersoy,,+1924-00-00T00:00:00Z,+1998-00-00T00:00:00Z
Q110584537,Jiří Bernard,"painter, illustrator, caricaturist",+1946-01-01T00:00:00Z,
Q42888693,Arnold Sirkel,,+1912-01-11T00:00:00Z,+1996-01-09T00:00:00Z
Q3870147,Nano Morgante,Dwarf and artist's model in the Medici household in Florence,+1530-00-00T00:00:00Z,+1570-00-00T00:00:00Z
Q952978,Alain Boyer,French philosopher,+1954-04-20T00:00:00Z,
Q3367338,Pascal Coffez,French caricaturist,+1957-00-00T00:00:00Z,
Q10340373,Ofélia Marques,Portuguese painter (1902-1952),+1902-01-01T00:00:00Z,+1952-01-01T00:00:00Z
Q113018301,Aristo Téllez,,+1888-00-00T00:00:00Z,
Q76707,Wilhelm Eduard Weber,German physicist,+1804-10-04T00:00:00Z,+1891-06-23T00:00:00Z
Q66880,Rudolf Haym,German philosopher (1821-1901),+1821-10-05T00:00:00Z,+1901-08-27T00:00:00Z
Q3768924,Girolamo Fenaroli Avogadro,Italian politician 1754-1802,+1754-02-26T00:00:00Z,+1802-02-26T00:00:00Z
Q111637,Leon Henkin,American mathematician,+1921-04-19T00:00:00Z,+2006-11-01T00:00:00Z
Q56872317,Salameh Kaileh,Palestinian intellectual and writer,+1955-07-04T00:00:00Z,+2018-10-02T00:00:00Z
Q94930939,Armand Vallée,"French illustrator, cartoonist, fashion designer and poster artist",+1884-00-00T00:00:00Z,+1960-00-00T00:00:00Z
Q1333105,Robert Nisbet,American sociologist,+1913-09-30T00:00:00Z,+1996-09-09T00:00:00Z
Q59601758,Antonín Koukl,Czech writer and librettist,+1860-05-01T00:00:00Z,+1884-02-26T00:00:00Z
Q731808,George Bentham,British botanist (1800-1884),+1800-09-22T00:00:00Z,+1884-09-10T00:00:00Z
Q104047144,Yorick,fictional character in SpongeBob SquarePants; member of Patrick and Gary's family,,
Q5724317,Ali Derakhshi,,,
Q2649325,Ahmad Syafi'i Maarif,Indonesian academic,+1935-05-31T00:00:00Z,+2022-05-27T00:00:00Z
Q86504,Hubert Schleichert,Austrian philosopher,+1935-07-30T00:00:00Z,+2020-09-13T00:00:00Z
Q20653371,Nigel Cleere,English ornithologist,+1955-09-21T00:00:00Z,
Q6590666,Hinko Smrekar,Slovenian caricaturist (1883-1942),+1883-07-13T00:00:00Z,+1942-10-01T00:00:00Z
Q5982445,Lucía Hechavarría Schwesinger,Cuban botanist,+1974-01-01T00:00:00Z,
Q725298,Ondřej Sekora,"Czech entomologist, rugby union footballer and coach, writer and artist (1899-1967)",+1899-09-25T00:00:00Z,+1967-07-04T00:00:00Z
Q1121219,Criton,Pythagorean philosopher,,
