start_node,edge_type,end_node
Q12808257,P570,+1993-00-00T00:00:00Z
Q12808257,P569,+1903-00-00T00:00:00Z
Q9152616,P569,+1947-03-07T00:00:00Z
Q18809,P570,+1933-12-26T00:00:00Z
Q18809,P569,+1875-11-11T00:00:00Z
Q55231974,P569,+1932-03-24T00:00:00Z
Q55231974,P570,+2015-04-16T00:00:00Z
Q511289,P569,+1613-04-01T00:00:00Z
Q511289,P570,+1703-09-29T00:00:00Z
Q104905910,P569,+1838-10-31T00:00:00Z
Q104905910,P570,+1900-04-16T00:00:00Z
Q16397,P569,+1940-11-27T00:00:00Z
Q16397,P570,+1973-07-20T00:00:00Z
Q1399541,P569,+1969-01-01T00:00:00Z
Q607534,P569,+1949-05-03T00:00:00Z
Q1379650,P569,+1866-07-10T00:00:00Z
Q1379650,P570,+1951-11-14T00:00:00Z
Q25477208,P569,+1962-01-01T00:00:00Z
Q6170576,P569,+1978-00-00T00:00:00Z
Q95180188,P569,+1938-08-19T00:00:00Z
Q1161507,P569,+1945-12-30T00:00:00Z
Q18212375,P569,+1917-01-01T00:00:00Z
Q18212375,P570,+2010-09-08T00:00:00Z
Q18396552,P569,+1930-06-18T00:00:00Z
Q107728,P569,+1883-07-26T00:00:00Z
Q107728,P570,+1935-11-22T00:00:00Z
Q595492,P569,+1870-05-06T00:00:00Z
Q595492,P570,+1939-11-30T00:00:00Z
Q95090622,P569,+1947-07-15T00:00:00Z
Q727782,P569,+1713-04-12T00:00:00Z
Q727782,P570,+1796-03-06T00:00:00Z
Q1955485,P569,+1959-04-09T00:00:00Z
Q1430566,P569,+1873-03-03T00:00:00Z
Q1430566,P570,+1960-05-21T00:00:00Z
Q76518,P569,+1852-09-25T00:00:00Z
Q76518,P570,+1933-12-18T00:00:00Z
Q1441976,P569,+1882-10-04T00:00:00Z
Q1441976,P570,+1960-03-26T00:00:00Z
Q75135645,P569,+1842-04-07T00:00:00Z
Q75135645,P570,+1895-11-05T00:00:00Z
Q1325276,P569,+1944-11-24T00:00:00Z
Q15971601,P569,+1914-01-06T00:00:00Z
Q15971601,P570,+1999-09-03T00:00:00Z
Q3296196,P569,+1909-01-01T00:00:00Z
Q3296196,P570,+1997-10-05T00:00:00Z
Q16119693,P569,+1956-01-01T00:00:00Z
Q3309954,P569,+1946-10-17T00:00:00Z
Q463132,P569,+1936-06-01T00:00:00Z
Q60024,P569,+1821-08-31T00:00:00Z
Q60024,P570,+1894-09-08T00:00:00Z
Q12217166,P569,+1942-00-00T00:00:00Z
Q12217166,P570,+2022-02-19T00:00:00Z
Q47504599,P569,+2000-00-00T00:00:00Z
Q20412256,P569,+1945-01-03T00:00:00Z
Q16168441,P569,+1911-02-05T00:00:00Z
Q16168441,P570,+1983-08-02T00:00:00Z
Q725642,P569,+1883-04-12T00:00:00Z
Q725642,P570,+1964-02-03T00:00:00Z
Q66382655,P569,+1928-00-00T00:00:00Z
Q66382655,P570,+2009-00-00T00:00:00Z
Q969533,P569,+1899-12-04T00:00:00Z
Q969533,P570,+1935-12-07T00:00:00Z
Q42888571,P569,+1943-01-01T00:00:00Z
Q278732,P569,+1962-01-01T00:00:00Z
Q7514197,P569,+1956-08-20T00:00:00Z
Q104006568,P569,+1985-00-00T00:00:00Z
Q720339,P569,+1935-01-18T00:00:00Z
Q61110510,P569,+1976-01-01T00:00:00Z
Q7398368,P569,+1950-04-18T00:00:00Z
Q590501,P569,+1637-10-24T00:00:00Z
Q590501,P570,+1712-03-02T00:00:00Z
Q20007006,P569,+1905-04-12T00:00:00Z
Q20007006,P570,+1973-10-28T00:00:00Z
Q28497123,P569,+1969-08-17T00:00:00Z
Q446155,P569,+0200-01-01T00:00:00Z
Q446155,P570,+0200-01-01T00:00:00Z
Q12377813,P569,+1968-08-04T00:00:00Z
Q106590097,P569,+1980-03-29T00:00:00Z
Q6101403,P569,+1913-03-15T00:00:00Z
Q6101403,P570,+1993-04-08T00:00:00Z
Q94917793,P569,+1901-00-00T00:00:00Z
Q94917793,P570,+1913-00-00T00:00:00Z
Q5959532,P569,+1980-01-01T00:00:00Z
Q8459748,P570,+2016-01-23T00:00:00Z
Q8459748,P569,+1933-11-18T00:00:00Z
Q114566986,P570,+1837-01-01T00:00:00Z
Q114566986,P569,+1760-01-01T00:00:00Z
Q59818400,P569,+1907-10-26T00:00:00Z
Q59818400,P570,+1993-04-18T00:00:00Z
Q6687255,P569,+1866-01-01T00:00:00Z
Q6687255,P570,+1933-01-01T00:00:00Z
Q23908377,P569,+1985-02-03T00:00:00Z
Q600551,P569,+1953-01-01T00:00:00Z
Q317632,P570,+0570-01-01T00:00:00Z
Q317632,P569,+0490-01-01T00:00:00Z
Q201484,P569,+1527-07-13T00:00:00Z
Q201484,P570,+1608-12-00T00:00:00Z
Q392835,P569,+1703-02-21T00:00:00Z
Q392835,P570,+1762-08-20T00:00:00Z
Q6128447,P570,+1846-01-01T00:00:00Z
Q6128447,P569,+1773-01-01T00:00:00Z
Q1360294,P569,+1794-05-11T00:00:00Z
Q1360294,P570,+1858-05-03T00:00:00Z
Q707637,P569,+1217-01-01T00:00:00Z
Q707637,P570,+1293-06-29T00:00:00Z
Q12758969,P570,+2000-04-24T00:00:00Z
Q12758969,P569,+1938-04-14T00:00:00Z
Q23648486,P569,+1945-00-00T00:00:00Z
Q36536728,P569,+1950-00-00T00:00:00Z
Q236173,P569,+1943-06-17T00:00:00Z
Q5780956,P569,+1889-05-15T00:00:00Z
Q5780956,P570,+1950-07-22T00:00:00Z
Q18415813,P570,+2017-01-20T00:00:00Z
Q18415813,P569,+1938-00-00T00:00:00Z
Q112364957,P570,+1994-06-17T00:00:00Z
