Q184530,Gerolamo Cardano,"Italian Renaissance mathematician, physician, astrologer (1501-1576)",+1501-09-24T00:00:00Z,+1576-09-21T00:00:00Z,https://en.wikipedia.org/wiki/Gerolamo_Cardano
Q313581,Nicolae Iorga,"Romanian historian, politician, literary critic, memoirist, poet and playwright",+1871-01-17T00:00:00Z,+1940-11-27T00:00:00Z,https://en.wikipedia.org/wiki/Nicolae_Iorga
Q1252398,John McDowell,South African philosopher and academic,+1942-03-07T00:00:00Z,,https://en.wikipedia.org/wiki/John_McDowell
Q132489,Amartya Sen,Indian economist and philosopher,+1933-11-03T00:00:00Z,,https://en.wikipedia.org/wiki/Amartya_Sen
Q310765,David Bohm,American theoretical physicist,+1917-12-20T00:00:00Z,+1992-10-27T00:00:00Z,https://en.wikipedia.org/wiki/David_Bohm
Q272411,Mozi,5th-century BC Chinese philosopher and founder of Mohism,-0470-01-01T00:00:00Z,-0391-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Mozi
Q84233,Ludwig von Mises,Austrian-American economist,+1881-09-29T00:00:00Z,+1973-10-10T00:00:00Z,https://en.wikipedia.org/wiki/Ludwig_von_Mises
Q60024,Hermann von Helmholtz,German physicist and physiologist (1821-1894),+1821-08-31T00:00:00Z,+1894-09-08T00:00:00Z,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Q503017,Jean-Luc Nancy,French philosopher,+1940-07-26T00:00:00Z,+2021-08-23T00:00:00Z,https://en.wikipedia.org/wiki/Jean-Luc_Nancy
Q969533,Tahar al-Haddad,"Tunisian intellectual, trade unionist and politician",+1899-12-04T00:00:00Z,+1935-12-07T00:00:00Z,https://en.wikipedia.org/wiki/Tahar_Haddad
Q1381628,Gerardus van der Leeuw,Dutch religious studies scholar and politician (1890–1950),+1890-03-18T00:00:00Z,+1950-11-18T00:00:00Z,https://en.wikipedia.org/wiki/Gerard_van_der_Leeuw
Q201538,Edward Said,Palestinian-American professor (1935–2003),+1935-11-01T00:00:00Z,+2003-09-25T00:00:00Z,https://en.wikipedia.org/wiki/Edward_Said
Q297040,Apollonius of Tyana,1st century AD Greek Neopythagorean philosopher,+0015-00-00T00:00:00Z,+0100-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Apollonius_of_Tyana
Q876398,Hans Kamp,Dutch philosopher and linguist,+1940-09-05T00:00:00Z,,https://en.wikipedia.org/wiki/Hans_Kamp
Q320042,Antiochus of Ascalon,ancient Greek philosopher,-0130-00-00T00:00:00Z,-0068-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Antiochus_of_Ascalon
Q3309295,Michel Clouscard,French Marxist philosopher and sociologist,+1928-08-06T00:00:00Z,+2009-02-21T00:00:00Z,https://en.wikipedia.org/wiki/Michel_Clouscard
Q82934,"Claude Henri de Rouvroy, comte de Saint-Simon",French early socialist theorist (1760-1825),+1760-10-17T00:00:00Z,+1825-05-19T00:00:00Z,https://en.wikipedia.org/wiki/Henri_de_Saint-Simon
Q201484,John Dee,"16th-century English mathematician, astrologer, and alchemist",+1527-07-13T00:00:00Z,+1608-12-00T00:00:00Z,https://en.wikipedia.org/wiki/John_Dee
Q2476671,Ulrich Schrade,Polish philosopher (1943-2009),+1943-07-21T00:00:00Z,+2009-11-15T00:00:00Z,https://en.wikipedia.org/wiki/Ulrich_Schrade
Q279359,Vilna Gaon,Polish-Lithuanian rabbi and Talmudist (1720–1797),+1720-04-23T00:00:00Z,+1797-10-09T00:00:00Z,https://en.wikipedia.org/wiki/Vilna_Gaon
