start_node,edge_type,end_node
Q157155,P69,Q2109623
Q157155,P800,Q3137560
Q16493674,P69,Q21705070
Q16493674,P106,Q201788
Q16493674,P1066,Q5819846
Q16493674,P27,Q29
Q6063226,P106,Q201788
Q6063226,P69,Q165980
Q6063226,P27,Q28513
Q6063226,P101,Q309
Q11979711,P27,Q20
Q11979711,P106,Q4964182
Q108159628,P106,Q16529590
Q108159628,P101,Q188847
Q108159628,P69,Q219563
Q108159628,P1066,Q84206467
Q117164587,P27,Q145
Q117164587,P69,Q81162
Q117164587,P185,Q7345899
Q117164587,P106,Q17167049
Q117164587,P101,Q109587623
Q290343,P27,Q30
Q290343,P106,Q2374149
Q290343,P69,Q1017974
Q290343,P737,Q122972
Q290343,P101,Q60242
Q290343,P802,Q700489
Q290343,P800,Q105699136
Q112524718,P106,Q188094
Q112524718,P101,Q2920921
Q113812257,P101,Q1143546
Q113812257,P106,Q4964182
Q113812257,P27,Q183
Q1930354,P27,Q34266
Q1930354,P106,Q4964182
Q1930354,P551,Q4477015
Q95305365,P106,Q4964182
Q325992,P106,Q4964182
Q325992,P1066,Q55778024
Q112513318,P106,Q1234713
Q112513318,P101,Q34178
Q94896361,P106,Q4964182
Q6077161,P106,Q4964182
Q6077161,P27,Q43
Q100319428,P69,Q83259
Q100319428,P106,Q4964182
Q110728391,P106,Q3055126
Q110728391,P27,Q30
Q98904791,P106,Q201788
Q98904791,P27,Q142
Q17380746,P27,Q33
Q17380746,P106,Q4964182
Q4056400,P69,Q4484266
Q4056400,P27,Q15180
Q4056400,P106,Q4964182
Q4056400,P101,Q40634
Q16065224,P27,Q35
Q16065224,P106,Q4964182
Q679597,P27,Q16
Q679597,P106,Q201788
Q679597,P69,Q50662
Q679597,P101,Q309
Q679597,P135,Q1376649
Q112360099,P27,Q145
Q112360099,P106,Q4964182
Q7851297,P106,Q36180
Q7851297,P69,Q49112
Q7851297,P27,Q30
Q4714520,P69,Q270145
Q4714520,P106,Q4964182
Q4714520,P27,Q419
Q3329643,P106,Q4964182
Q3329643,P69,Q584919
Q3329643,P27,Q29
Q3329643,P185,Q20013186
Q3329643,P101,Q5891
Q17220444,P69,Q7842
Q17220444,P27,Q17
Q17220444,P106,Q4964182
Q30277457,P106,Q4964182
Q4464879,P69,Q4480794
Q4464879,P106,Q4964182
Q4464879,P101,Q5891
Q4464879,P185,Q4143862
Q2438022,P27,Q183
Q2438022,P69,Q32120
Q2438022,P106,Q170790
Q2438022,P101,Q11205
Q113830686,P106,Q1238570
Q113830686,P27,Q31
Q106831110,P106,Q12406482
Q106831110,P27,Q40
Q958755,P27,Q43
Q958755,P106,Q36180
Q958755,P69,Q6099542
Q958755,P101,Q6235
Q380790,P106,Q155647
Q380790,P69,Q1145306
Q380790,P27,Q129286
Q380790,P101,Q5891
Q109379809,P106,Q4964182
Q109379809,P27,Q145
Q5006543,P69,Q805285
Q5006543,P106,Q14467526
Q5006543,P27,Q145
Q380234,P106,Q4964182
Q380234,P27,Q11774
Q380234,P101,Q5891
Q380234,P800,Q47228
Q114102176,P27,Q38
Q114102176,P69,Q672416
Q114102176,P106,Q14565331
Q4493167,P27,Q145
Q4493167,P106,Q193391
Q4493167,P69,Q73094
Q4493167,P101,Q1889
Q112548682,P106,Q1231865
Q112548682,P101,Q7922
Q3440418,P27,Q142
Q3440418,P106,Q49757
Q113751744,P106,Q4964182
Q113751744,P27,Q36
Q113773811,P106,Q4964182
Q113773811,P27,Q183
Q16570843,P27,Q298
Q16570843,P106,Q4964182
Q16570843,P69,Q5777303
Q16570843,P101,Q35986
Q16570843,P802,Q112684098
Q7323585,P27,Q30
Q7323585,P69,Q193727
Q7323585,P106,Q1622272
Q7323585,P101,Q301751
Q16379974,P69,Q1474624
Q16379974,P106,Q4964182
Q16379974,P27,Q399
Q324820,P27,Q142
Q324820,P106,Q36180
Q324820,P135,Q627187
Q28870249,P27,Q414
Q28870249,P106,Q4964182
Q28870249,P69,Q194223
Q93228948,P106,Q4964182
Q16990861,P27,Q33
Q16990861,P101,Q495527
Q16990861,P106,Q16267607
Q112536202,P106,Q185351
Q112536202,P101,Q1761534
Q113797795,P106,Q4964182
Q11593697,P106,Q4964182
Q11593697,P69,Q204626
Q11593697,P27,Q17
Q4867431,P2348,Q428995
Q4867431,P135,Q48235
Q4867431,P106,Q4964182
Q68749737,P106,Q21550346
Q68749737,P27,Q28
Q68749737,P69,Q390287
Q85766,P27,Q131964
Q85766,P106,Q350979
Q85766,P101,Q431
Q85766,P69,Q875788
Q1505028,P27,Q39
Q1505028,P106,Q1622272
Q1505028,P69,Q206702
Q1505028,P101,Q179805
Q17588854,P106,Q1930187
Q17588854,P27,Q30
Q5257208,P106,Q482980
Q5257208,P27,Q27
Q5257208,P69,Q4663978
Q5257208,P101,Q58854
Q16644153,P27,Q15180
